GEO accession,Species,Cohort / dataset,Dataset role,Data type,Samples / records used,Analysis / figure,Notes
GSE121842,Homo sapiens,DS01; colorectal; colon adjacent,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,6 retained paired samples,Figure 1; Supplementary Figures S1–S2,Colorectal tumour and matched adjacent non-tumour colon
GSE132447,Homo sapiens,DS02; neuron,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,18 retained paired samples,Figure 1; Supplementary Figures S1–S2,Primary neurons
GSE133751 / GSE133319,Homo sapiens,DS03; endothelial,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq across linked public series,6 retained paired samples,Figure 1; Supplementary Figures S1–S2,HUVEC samples linked across paired public series
GSE160635,Homo sapiens,DS04; endometrium,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,2 retained paired samples,Figure 1; Supplementary Figures S1–S2,Thin endometrium and adjacent normal endometrium
GSE162135,Homo sapiens,DS05; adipocyte,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,4 retained paired samples,Figure 1; Supplementary Figures S1–S2,Adipocyte precursor cells
GSE176289,Homo sapiens,DS06; liver,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,16 retained paired samples,Figure 1; Supplementary Figures S1–S2,Liver samples
GSE178402,Homo sapiens,DS07; endothelial,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,12 retained paired samples,Figure 1; Supplementary Figures S1–S2,HUVEC samples
GSE178943,Homo sapiens,DS08; cell line,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,6 retained paired samples,Figure 1; Supplementary Figures S1–S2,HEK293T cells
GSE193854,Homo sapiens,DS09; cell line,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,2 retained paired samples,Figure 1; Supplementary Figures S1–S2,H446 and SHP77 cells
GSE198123,Homo sapiens,DS10; blood,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,14 retained paired samples,Figure 1; Supplementary Figures S1–S2,Peripheral blood
GSE203289,Homo sapiens,DS11; cell line,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,2 retained paired samples,Figure 1; Supplementary Figures S1–S2,HAP1 cells
GSE220078,Homo sapiens,DS12; blood,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,96 retained paired samples,Figure 1; Supplementary Figures S1–S2,Whole blood
GSE241760,Homo sapiens,DS13; heart,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,31 retained paired samples,Figure 1; Supplementary Figures S1–S2,Fetal heart
GSE37765,Homo sapiens,DS14; lung cancer,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,5 retained paired samples,Figure 1; Supplementary Figures S1–S2,Non-small-cell lung cancer
GSE66209,Homo sapiens,DS15; colon,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,33 retained paired samples,Figure 1; Supplementary Figures S1–S2,Colon
—,Homo sapiens,Development compendium total,Development paired-expression compendium,Paired mRNA-seq / miRNA-seq,253 retained paired samples,Figure 1; Supplementary Figures S1–S2,15 study labels; 16 GEO Series accessions; 12 harmonised groups
GSE228542,Homo sapiens,Sepsis and healthy whole-blood cohorts,Independent paired-cohort validation,Paired whole-blood mRNA-seq / miRNA-seq,29 paired profiles (14 sepsis; 15 healthy),Figure 4; Supplementary Figures S8 and S12,Separate cohort analysis; cohort-specific coverage and reconstructed RS
GSE60426,Homo sapiens,U2OS / HEK293T miRNA-transfection experiments,Human miRNA perturbation / RPF validation,Mock/pre-transfection RNA-seq; post-transfection mRNA/RPF/TE,With GSE61073: 77 experiment–gene observations (67 genes),"Figure 5; Supplementary Figures S11, S13 and S14",Combined count only; no per-accession count stated
GSE61073,Homo sapiens,U2OS / HEK293T miRNA-transfection experiments,Human miRNA perturbation / RPF validation,Mock/pre-transfection RNA-seq; post-transfection mRNA/RPF/TE,With GSE60426: 77 experiment–gene observations (67 genes),"Figure 5; Supplementary Figures S11, S13 and S14",Combined count only; no per-accession count stated
GSE104455,Mus musculus,miR-144/451 knockout RNA-stability branch,Mouse RNA-stability transfer validation,RNA-stability / RNA-abundance measurements; mouse-matched coverage,206 candidates (selected correlation analysis),Figure 6H; Supplementary Figures S15–S16,Fixed human checkpoint with mouse-matched inputs
GSE83684,Mus musculus,miR-17~92 transgenic RPF branch,Mouse RPF / RNA transfer validation,RPF and RNA measurements for miR-17~92 perturbation,With GSE83734: 741 records (selected analysis),Figure 6H; Supplementary Figures S15–S16,Combined count only; no per-accession count stated
GSE83734,Mus musculus,miR-17~92 transgenic RPF branch,Mouse RPF / RNA transfer validation,RPF and RNA measurements for miR-17~92 perturbation,With GSE83684: 741 records (selected analysis),Figure 6H; Supplementary Figures S15–S16,Combined count only; no per-accession count stated
GSE97058,Mus musculus,miR-122 liver Ago-CLIP branch,Mouse Ago-CLIP transfer validation,Ago-CLIP,"With GSE97060: 1,248 measured candidates",Figure 6H; Supplementary Figure S15,Mouse SubSeries within the GSE97061 SuperSeries
GSE97060,Mus musculus,miR-122 liver matched-RNA branch,Mouse Ago-CLIP transfer validation,Matched RNA-seq,"With GSE97058: 1,248 measured candidates",Figure 6H; Supplementary Figure S15,Mouse SubSeries within the GSE97061 SuperSeries
