threshold_quantile,minimum_abs_rs,source_tertile_label,n_switches,n_genes,accuracy,ci_lower,ci_upper,threshold_percentile,distance_group,p_value,fdr_48_test_family,legacy_random_seed,n_bootstrap,n_sign_flip,source_switch_sha256,freeze_scope,fdr,bh_family_size,inference_scope,cell_inference_source,cell_inference_source_sha256,rng_reproducibility
0.0,3.6835594e-05,Static,159,155,0.5010752688,0.4225806452,0.5774462366,0,Low pairwise coverage distance,0.98260087,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,1.0,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.0,3.6835594e-05,High variable,160,155,0.5709677419,0.4935483871,0.6483870968,0,High pairwise coverage distance,0.08784560772,0.2635368232,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.1756912154,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.05,0.003142867625,Static,153,150,0.5077777778,0.43,0.5855833333,5,Low pairwise coverage distance,0.8497575121,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.05,0.003142867625,High variable,152,147,0.5884353741,0.5068027211,0.6666666667,5,High pairwise coverage distance,0.03574821259,0.1429928504,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.09532856691,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.1,0.00887994433,Static,147,144,0.5081018519,0.4340277778,0.5868344907,10,Low pairwise coverage distance,0.8657067147,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.1,0.00887994433,High variable,144,139,0.6007194245,0.5179856115,0.6834532374,10,High pairwise coverage distance,0.02129893505,0.126926987,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.08461799132,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.15,0.01289328595,Static,139,136,0.4865196078,0.4044117647,0.5662071078,15,Low pairwise coverage distance,0.7474626269,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.15,0.01289328595,High variable,135,131,0.606870229,0.5267175573,0.6908396947,15,High pairwise coverage distance,0.01664916754,0.1254794403,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.08365296023,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.2,0.0180797526,Static,132,129,0.4896640827,0.4043604651,0.5788113695,20,Low pairwise coverage distance,0.8593070346,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.2,0.0180797526,High variable,129,126,0.6031746032,0.5198412698,0.6865079365,20,High pairwise coverage distance,0.02379881006,0.126926987,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.08461799132,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
