cohort,scope,decile,n,median_reconstructed_rs,q1_reconstructed_rs,q3_reconstructed_rs,all_unscored_n,spearman_r,spearman_p
sepsis,neither TargetScan nor miRDB scored,1,1242,0.0679909717575763,0.0500130143376235,0.0956839987221661,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,2,1241,0.0723780458576847,0.0551280789153929,0.1033369652037733,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,3,1242,0.0810351288880681,0.058636125372198,0.1163520926487647,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,4,1241,0.0885837083777402,0.0628785101854265,0.1270748629862343,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,5,1242,0.0938053322167912,0.0686217327840926,0.1307420433036977,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,6,1241,0.1028888202571521,0.0733074045669521,0.1474703777306172,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,7,1241,0.1067539485040109,0.0769038247863677,0.1523825345177184,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,8,1242,0.1206285023376223,0.0850537774135375,0.1689087906252238,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,9,1241,0.1287380847963699,0.0919572217271156,0.1910518977327964,12415,0.3855965780059053,0.0
sepsis,neither TargetScan nor miRDB scored,10,1242,0.1516566956095444,0.0972517589490111,0.2292823778362564,12415,0.3855965780059053,0.0
healthy,neither TargetScan nor miRDB scored,1,2570,0.0655097186323165,0.0486771427826611,0.0938310361645034,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,2,2570,0.0701583432943473,0.0524978164444996,0.097814315400648,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,3,2570,0.0755981001847517,0.055017592332517,0.1099491490917855,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,4,2570,0.081446691654457,0.0592963385342685,0.1181678044694766,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,5,2570,0.0865902189579037,0.0627559314939453,0.1256777616138576,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,6,2569,0.0935730787038667,0.0680996107182828,0.1357354519553685,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,7,2570,0.1024807205360537,0.07245940043126,0.1470593856749804,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,8,2570,0.1159488602777942,0.0803760943498102,0.1678404687986587,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,9,2570,0.134029842530321,0.0905240610631427,0.1938112614439548,25699,0.4186201927101181,0.0
healthy,neither TargetScan nor miRDB scored,10,2570,0.1599165281133109,0.104537559020924,0.2394809765944902,25699,0.4186201927101181,0.0
