dataset	gene	UTRPRISM	Sequence-only	Zero coverage	miRanda	tg_repression	wt_mean
GSE83684	Abcb7	0.2863115456599545	0.2564481931465723	0.3174314648948744	0.2680581734028921	0.2575732285033716	14.0423
GSE83684	Adnp	0.3836334319585272	0.3866377562661642	0.3398329518887096	0.0580933605091704	-0.3167866604413767	23.5523
GSE83684	Agfg2	0.1638410492829446	0.2559268339989158	0.2029463008366612	0.2714005911499906	-0.2739170736961616	12.0025
GSE83684	Akap13	0.0644711561574256	0.083382651090544	0.1062437109498682	0.2028725314183124	0.8161622463362028	16.1233
GSE83684	Akip1	0.1508078994614003	0.1466187911430281	0.1558946738479952	0.0176540993417115	-0.0894773161322346	21.2586
GSE83684	Akt2	0.1510302784744101	0.096988103304948	0.1236235204809906	0.217500355107848	-0.5758989812537196	13.0763
GSE83684	Alkbh5	0.0789946140035906	0.0442848593656493	0.0475763016157989	0.1268701376421304	-0.1137895135394178	20.6781
GSE83684	Anapc16	0.0059844404548174	0.0338120885697187	0.0089766606822262	0.1229802513464991	0.0371463078174123	23.8965
GSE83684	Ankrd11	0.142130460801915	0.1427289048473967	0.1143028126870137	0.0176540993417115	-0.2869426023402592	10.2306
GSE83684	Ankrd44	0.1274685816876122	0.0679233991621783	0.1436265709156194	0.1035308198683423	0.2982391607757733	17.1613
GSE83684	Ap1g1	0.1289937022467346	0.1255994801328181	0.1672352713968612	0.1303099475988468	-0.337781604927664	21.9486
GSE83684	Ap1m1	0.0114989116938618	0.111056958279664	0.0588456163559233	0.2787791907246146	-0.2020222090140482	72.7005
GSE83684	Ap1s3	0.1026331538001196	0.1256732495511669	0.1014362657091561	0.0330640335128665	0.3374372556012135	14.0924
GSE83684	Ap3m1	0.0901279940851846	0.1431856121452644	0.1830260712728623	0.1569407076227846	0.2007960122638752	14.1756
GSE83684	Apeh	0.3310763206798059	0.3289303765887363	0.2411107850889625	0.1056100399349502	-0.4921854827149206	33.377
GSE83684	Arfgap1	0.0508677438659485	0.0664272890484739	0.1223818073010173	0.1313584679832435	0.1996274682783467	16.9049
GSE83684	Arfgap3	0.3848152387284609	0.2580982278097861	0.3887744862206655	0.1778797967576312	0.1038357431786707	10.6208
GSE83684	Arhgap1	0.0477826902132019	0.0584353257707246	0.0878709814316571	0.2481636388050348	-0.0775393934747334	30.5323
GSE83684	Arhgap17	0.2312190520712629	0.1903441633470428	0.1144768753595222	0.3049619465843101	-0.3562092378636299	43.5239
