threshold_label,minimum_rs_quantile,minimum_abs_rs,coverage_distance_stratum,n_pairs,n_genes,gene_balanced_accuracy,ci95_low,ci95_high,p_vs_tie,fdr_all_threshold_stratum_tests,production_distance_cut_low,production_distance_cut_high
q00,0.0,1.8789326517304472e-05,Low coverage distance,886,732,0.5119535519125683,0.4774590163934426,0.5471339936247722,0.504769904601908,0.6676906461870763,0.0926154199999999,0.3364534899999999
q00,0.0,1.8789326517304472e-05,Moderate coverage distance,810,686,0.5328057753713731,0.4957446550048591,0.568738719977787,0.0768784624307513,0.1537569248615027,0.0926154199999999,0.3364534899999999
q00,0.0,1.8789326517304472e-05,High coverage distance,713,590,0.571045197740113,0.531497175141243,0.6098870056497174,0.0004799904001919,0.0043199136017279,0.0926154199999999,0.3364534899999999
q25,0.25,0.0254346759221915,Low coverage distance,663,558,0.515173237753883,0.4753875448028674,0.5553181003584229,0.4639107217855643,0.6676906461870763,0.0926154199999999,0.3364534899999999
q25,0.25,0.0254346759221915,Moderate coverage distance,605,525,0.5464126984126985,0.5041857142857141,0.5881920634920635,0.0289794204115917,0.0770384592308153,0.0926154199999999,0.3364534899999999
q25,0.25,0.0254346759221915,High coverage distance,539,454,0.5875917767988252,0.5433911527165932,0.632086086637298,0.0001199976000479,0.0021599568008639,0.0926154199999999,0.3364534899999999
q50,0.5,0.0547354092911288,Low coverage distance,439,370,0.5161261261261261,0.4671610360360361,0.5644144144144143,0.5281494370112598,0.6676906461870763,0.0926154199999999,0.3364534899999999
q50,0.5,0.0547354092911288,Moderate coverage distance,408,364,0.5499084249084248,0.4995421245421245,0.6007326007326007,0.0532189356212875,0.119742605147897,0.0926154199999999,0.3364534899999999
q50,0.5,0.0547354092911288,High coverage distance,358,315,0.5849735449735449,0.5322751322751322,0.6378835978835979,0.0023599528009439,0.0141597168056638,0.0926154199999999,0.3364534899999999
q67,0.67,0.0851279933807881,Low coverage distance,295,265,0.5182389937106918,0.4584905660377358,0.5776729559748427,0.5564088718225636,0.6676906461870763,0.0926154199999999,0.3364534899999999
q67,0.67,0.0851279933807881,Moderate coverage distance,261,233,0.5171673819742489,0.4535050071530758,0.5793991416309013,0.5997480050398992,0.6747165056698866,0.0926154199999999,0.3364534899999999
q67,0.67,0.0851279933807881,High coverage distance,239,215,0.5829457364341085,0.517829457364341,0.6488372093023256,0.0145597088058238,0.0524149517009659,0.0926154199999999,0.3364534899999999
q75,0.75,0.1053049577257436,Low coverage distance,229,208,0.5288461538461539,0.4615384615384615,0.5961538461538461,0.4191516169676606,0.6676906461870763,0.0926154199999999,0.3364534899999999
q75,0.75,0.1053049577257436,Moderate coverage distance,200,183,0.4881602914389799,0.4162112932604735,0.5591985428051003,0.75312493750125,0.75312493750125,0.0926154199999999,0.3364534899999999
q75,0.75,0.1053049577257436,High coverage distance,174,157,0.5870488322717622,0.5127123142250531,0.6624203821656051,0.0299594008119837,0.0770384592308153,0.0926154199999999,0.3364534899999999
fixed_0.0922,,0.0922,Low coverage distance,268,243,0.5195473251028807,0.4591820987654321,0.5816272290809328,0.5473090538189236,0.6676906461870763,0.0926154199999999,0.3364534899999999
fixed_0.0922,,0.0922,Moderate coverage distance,239,215,0.513953488372093,0.4488372093023255,0.5821705426356589,0.6904261914761705,0.7310394968571217,0.0926154199999999,0.3364534899999999
fixed_0.0922,,0.0922,High coverage distance,207,188,0.5930851063829787,0.5230496453900709,0.6613475177304964,0.0103997920041599,0.0467990640187196,0.0926154199999999,0.3364534899999999
