public_file	analysis_or_figure	rows	columns	public_file_sha256
data/processed/state_resolved_repression_atlas.csv.gz	State-resolved repression atlas; Figure 1 and model development	426243	9	1c5aec87bad65383e8ab4bd800148a758f0c35dad404a1b84c8b378433e4e9e4
data/processed/public_datasets.csv	Public dataset inventory; Supplementary Table S1	24	8	3d7eed32bd8e54b129cebb90e79adf5d007d71198062c015ec0065d529f0efa6
data/reproduction_tables/context_state_sizes.csv.gz	Expressed-state sizes; Figure 1 and Supplementary Figure S1	64990	1	d7283126fc99a76761e55dc9d69eb7bc8bd77dfd2582e7896b1d2d9ddcfa9868
data/reproduction_tables/context_study_support.csv.gz	Study support per expressed state; Figure 1 and Supplementary Figure S1	64990	1	c8c0a790ba21c4d00a476207ddebb3f7e8cb796ee69fff6801912c61d568bf7b
data/reproduction_tables/context_summary.csv	Expressed-state compendium summary; Figure 1	8	2	ebd35f3d639e370e4d619571dc4dd15360ed48b93684a305f7806f11d4cd8b66
data/reproduction_tables/label_selection_frequency.csv.gz	Selection-frequency distribution; Figure 1 and Supplementary Figure S3	60000	1	5cac3bcf3a96c5374855ca0991dedea9a41363b9f63be2931e85d4dd4c4c42f3
data/reproduction_tables/atlas_label_sample.csv.gz	Regression-label distribution sample; Figure 1 and Supplementary Figure S4	60000	3	50524deafaa2ea42f71e45976699be0b4cd38ccb1e2c535cd55052bdb5ac9620
data/reproduction_tables/candidate_counts.csv.gz	Candidate-miRNA counts; Figure 1	40000	1	8c59e160b048cebb3b25424e37865c3f22f0803166b7ca7b5c89d1e810e8ce17
data/reproduction_tables/candidate_site_positions.csv	Candidate-site positions; Figure 1	3911	3	2f5be67d881a556218173d1abd5b87a66ec16c54260eb39a6599aa7dc0b42b19
data/reproduction_tables/development_validation_predictions.csv.gz	Frozen production-model development validation; Figure 2	29807	10	b324eff2d17f8303e2b0fd90ea28bef64bc88754c4ce13fbd8ff0f5928f11ef3
data/reproduction_tables/sequence_only_predictions.csv.gz	Sequence-only comparator predictions; Figure 2	29807	10	e543ec05f82e2363bd6aff1a1a76b72a14925d16090440f03202194b56a26780
data/reproduction_tables/zero_coverage_predictions.csv.gz	Zero-coverage ablation predictions; Figure 2	29807	10	eee519afbd9cdc7f3e76a334abe7375f63b101d34f7511038fd68a455960d006
data/reproduction_tables/association_random_split_predictions.csv.gz	Separately trained association-random evaluation; Figure 2	29807	10	98576b00fbe8846ffe5f42fbf1b1ffa948cf8c5bbff8043ec5cd7f761eb148ee
data/reproduction_tables/pair_disjoint_predictions.csv.gz	Pair-disjoint evaluation; Figure 2	29788	10	771c73c3bcbf0e08000a416b1ed8a5eb5e3c63d1c5c090471b334d07900e96cd
data/reproduction_tables/gene_disjoint_predictions.csv.gz	Gene-disjoint evaluation; Figure 2	29600	10	3ac15d6e07d427c69040c9396e62073c386007a60182484640d7ef2d88cad23a
data/reproduction_tables/development_benchmark_associations.csv.gz	Development comparator benchmark; Figure 2	29807	16	da62ed34536a829d6b89d83cd08e7cdfeb56600eb04e55d5dcf64c9d3eac77b6
data/reproduction_tables/development_top_decile_auc.csv	Top-decile benchmark summary; Figure 2	12	10	c4ae61b0c08dca49164ff76d42850e82d96b2f41cf5193d153388e38fdd6b329
data/reproduction_tables/modality_ablation_summary.csv	Input-modality ablation; Supplementary Figure S6	4	3	938efa41b63910e74beeb6828154086ddc63f558f462b21711fb14b57e7214ba
data/reproduction_tables/split_robustness_summary.csv	Development split summary; Figure 2	4	5	3837b6abef5e22fb0e1a61d461fc70591270de0c4bdae6dd03168bcfe808f33f
data/reproduction_tables/input_perturbation_summary.csv	Local input perturbations; Supplementary Figure S6	5	5	d63be3247205ac42065be23f420ef9099196f4c4ad3f6fef539df5aa7c573cf0
data/reproduction_tables/site_coverage_associations.csv.gz	Site coverage and repression associations; Supplementary Figure S7	29807	7	f0018f37002908602ec3e7d61e63cb57b4ce96914ef33dde954e532efbda2de9
data/reproduction_tables/gene_utr_dynamicity.csv.gz	Gene-level 3′UTR dynamicity; Figure 3	16575	17	e8215e1787176a2cf18f5344a97932a6ecbe9eb0427f99e935f4038fbd7a1157
data/reproduction_tables/gene_ranking_performance.csv.gz	Gene-level ranking performance by dynamicity; Figure 3	8069	17	0ce5ceb55ad0a7921bf81e90659fbdc14738bf61f5037a6a86f83baf8712f7f2
data/reproduction_tables/context_switch_threshold_grid.csv	Fixed-sequence context-switch ordering grid; Figure 3	32	23	7319aed6a89a7be9da276031971d4186f2967ecb47c0b18c1bbd100109958f47
data/reproduction_tables/pair_disjoint_context_switch_summary.csv	Pair-disjoint context-switch confirmation; Figure 3	18	13	86353c6e58936562c787b0141e3dc903831a8a00507d1cf55aeab954bf32dfc0
data/reproduction_tables/independent_sepsis_associations.csv.gz	Independent sepsis-cohort validation; Figure 4	15655	9	a9ee0f0a805f9de8ed014370080ed68f3c9f872a1abaa1c12392e636741c44e3
data/reproduction_tables/independent_healthy_associations.csv.gz	Independent healthy-cohort validation; Figure 4	32026	9	e7be2d11cffabeb7ea338a930ab2599880a4c3ff4b5aab2a140e0829f7ed512a
data/reproduction_tables/external_database_unscored_calibration.csv	Independent-cohort unscored-candidate calibration; Figure 4 and Supplementary Figure S8	20	10	a1c69eedba65365a7f2f58573f491ac4d75080482bfa4dbc6943f8c9efb8bcc9
data/reproduction_tables/external_database_unscored_ranking_lift_summary.csv	Independent-cohort unscored-candidate ranking lift; Figure 4 and Supplementary Figure S8	2	6	4ba3983d0e3905b433a96e619f432406d6536f99bce685d5ad8c26e829400f24
data/reproduction_tables/human_perturbation_candidate_repression.csv.gz	Human miRNA perturbation candidate-level responses; Figure 5	64000	8	bf332966d54985eae7f80ff2944859239cd30d3267a2005b72f017dbf34b54c3
data/reproduction_tables/human_perturbation_rpf_records.csv	Human RPF continuous-response records; Figure 5	77	7	cb075d41fa381ef61338f9d0466ee7178fbd052cc4ec8fbd16348cd55c640948
data/reproduction_tables/human_perturbation_top_bottom_summary.csv	Human RPF top-versus-bottom summary; Figure 5	1	7	7e6da1978c8d1ffc851cf80df1d0483807e83bb5989866f13416713643fd2662
data/reproduction_tables/human_perturbation_context_divergence.csv	Human perturbation context divergence; Figure 5 and Supplementary Figure S11	77	12	f93868eb4edc0a48285f54b84e09d8daa2ac0b57d21a56323731b7ee13142b60
data/reproduction_tables/human_perturbation_targetnet_common_records.csv	Pair-overlap-filtered TargetNet benchmark records; Figure 5 and Supplementary Figure S14	70	31	dc97b4aa5780cc62a36ec872ebe6edd5c956b159ba7949d94ec9d2132ada2cd7
data/reproduction_tables/human_perturbation_targetnet_metrics.csv	Pair-overlap-filtered TargetNet benchmark metrics; Figure 5 and Supplementary Figure S14	2	8	d8753c7ab8808d8edcacec37f30c64eb21c67934f6bfd17a6055c34dd3e5a6a2
data/reproduction_tables/mouse_rna_stability_locus_scores.tsv	Mouse RNA-stability transfer validation; Figure 6	372	22	a32dfaeab88c12d187ddeca00d396bba39a46754b492e660935eb25548baaeb4
data/reproduction_tables/mouse_selected_analysis_records.tsv	Mouse miR-17~92 RPF/RNA transfer validation; Figure 6	741	8	b9db19ba1ce8f50fa340952c7929962c064e523094a8ca07fb8df01e834a65eb
data/reproduction_tables/mouse_ago_clip_candidates.tsv	Mouse miR-122 Ago-CLIP transfer validation; Figure 6	1248	19	cf89382a7b1ccede01a91746db1d5fbd966a4f4e000296b6d4f95c89117f1be6
data/reproduction_tables/web_gene_query_il6st.csv	Gene-query example; Figure 6	100	10	96981613469e2b5be684d0aff13497e7e62c7dc1cb0258e51aba0b9383fac50f
data/reproduction_tables/web_multisample_mbnl3.csv	Multi-sample query example; Figure 6	237	20	037d0a8603a3368e966c3e5e03ce453cc7de0b161de6de537a0f334f337c66ce
data/reproduction_tables/web_multisample_mbnl3_representative_candidates.csv	Representative multi-sample candidates; Figure 6	3	21	e32a5bbf2d03097328ff4086d386b2e8462be5dad9fbde945c04554ac6d4652a
data/processed/atlas_metadata.json	Atlas dimensions and release notes	—	—	92362e9d567d2892fc6a274f3afb8bd102d271d3db84dd81cc3dbb190a5a9802
data/example_inputs/candidate_centered_3utr.fasta	Synthetic inference smoke test	—	—	affa4eac46919b985fab0adafb1807f490aec6ad7ec46304d1b87e1c1d713326
data/example_inputs/mature_mirna.fasta	Synthetic inference smoke test	—	—	f281f02ae20fc8c02f1bb0c559c41d02739614fee3a2d0485c98d23612d1c190
data/example_inputs/coverage.csv	Synthetic inference smoke test	—	—	ad96579776e15996229e3be3475ce12521286731a2f2e1ef99fe6bb99f7d3728
data/example_inputs/README.md	Synthetic inference smoke test	—	—	e8d79450df66cc6ec9eefbf01af9bbf5b6fb0331afbabe217f6b70676c524f83
data/example_inputs/expected_prediction.json	Synthetic inference smoke-test expectation	—	—	4fbac0b30c458ddc3a1e9fe9bda43dbca3bdc96d6c6a7a1676c36f778ff158b1
