gene,miRNA,category,common_score,relative_range,specificity_margin,specific_sample,n_sites,raw_blood,relative_blood,site_coverage_blood,coverage_dependence_blood,raw_heart,relative_heart,site_coverage_heart,coverage_dependence_heart,raw_liver,relative_liver,site_coverage_liver,coverage_dependence_liver
MBNL3,hsa-miR-10394-5p,specific,0.0844650566577911,0.0310041233897209,0.0264903753995895,Heart,2,0.0977433398365974,0.031499944627285,4.622,Medium,0.1329768896102905,0.0579903200268745,1.332,High,0.0844650566577911,0.0269861966371536,0.021,Low
MBNL3,hsa-miR-2115-3p,specific,0.0859432443976402,0.0284963250160217,0.0243049040436744,Blood,1,0.1190126836299896,0.0527692884206771,5.887,High,0.0992595329880714,0.0242729634046554,1.662,Low,0.0859432443976402,0.0284643843770027,0.003,Low
MBNL3,hsa-miR-132-5p,specific,0.0687359571456909,0.0246917605400085,0.0242988541722297,Blood,1,0.1021922528743743,0.0359488576650619,5.671,Medium,0.0866365730762481,0.0116500034928321,4.371,Low,0.0687359571456909,0.0112570971250534,0.093,Low
MBNL3,hsa-miR-6802-5p,specific,0.0569378025829792,0.0231425762176513,0.0229772441089153,Blood,1,0.0886795818805694,0.022436186671257,5.781,Medium,0.0742801800370216,-0.0007063895463943,3.941,Low,0.0569378025829792,-0.0005410574376583,0.12,Low
MBNL3,hsa-miR-194-3p,specific,0.0632370635867118,0.022859588265419,0.0224440619349479,Blood,1,0.0944456607103347,0.0282022655010223,6.144,Medium,0.0803292468190193,0.0053426772356033,3.933,Low,0.0632370635867118,0.0057582035660743,0.098,Low
MBNL3,hsa-miR-1912-5p,specific,0.0644174963235855,0.0251356735825538,0.0215826481580734,Heart,1,0.06962900608778,0.0033856108784675,5.727,Low,0.1035078540444374,0.0285212844610214,3.861,High,0.0644174963235855,0.0069386363029479,0.108,Low
MBNL3,hsa-miR-5010-5p,specific,0.0463985279202461,0.0272710844874382,0.0207798406481742,Blood,1,0.0824341475963592,0.0161907523870468,6.144,High,0.0703974813222885,-0.0045890882611274,2.975,Medium,0.0463985279202461,-0.0110803321003913,0.049,Low
MBNL3,hsa-miR-5591-5p,specific,0.0453543290495872,0.0210370197892189,0.0196326524019241,Blood,1,0.0737515166401863,0.0075081214308738,5.907,Medium,0.0614576712250709,-0.013528898358345,3.967,Low,0.0453543290495872,-0.0121245309710502,0.117,Low
MBNL3,hsa-miR-5584-5p,specific,0.0469049140810966,0.0245995223522186,0.0193643644452095,Heart,1,0.0609046071767807,-0.0053387880325317,6.786,Low,0.0890121459960937,0.0140255764126777,4.349,High,0.0469049140810966,-0.0105739459395408,0.132,Low
MBNL3,hsa-miR-328-5p,specific,0.0484410598874092,0.0341098383069038,0.0191895514726638,Heart,1,0.0721258819103241,0.0058824867010116,5.97,Medium,0.1000586077570915,0.0250720381736755,4.737,High,0.0484410598874092,-0.0090378001332283,0.114,Low
MBNL3,hsa-miR-6885-5p,specific,0.0437504798173904,0.0340557768940925,0.0181285068392753,Heart,1,0.0684422850608825,0.0021988898515701,5.97,Medium,0.0953139662742614,0.0203273966908454,4.737,High,0.0437504798173904,-0.013728380203247,0.114,Low
MBNL3,hsa-miR-525-5p,specific,0.0584284514188766,0.0238547772169113,0.0175261944532394,Heart,1,0.0735215693712234,0.007278174161911,5.82,Low,0.0997909381985664,0.0248043686151504,4.379,High,0.0584284514188766,0.0009495913982391,0.106,Low
MBNL3,hsa-miR-3912-5p,specific,0.0597434304654598,0.0222983695566654,0.0160075724124908,Heart,1,0.0747987627983093,0.0085553675889968,5.34,Low,0.0995495095849037,0.0245629400014877,4.139,High,0.0597434304654598,0.0022645704448223,0.081,Low
MBNL3,hsa-miR-3126-3p,specific,0.0627160891890525,0.0239160358905792,0.0159336775541305,Heart,1,0.0794629827141761,0.0132195875048637,5.103,Low,0.1041398346424102,0.0291532650589942,4.192,High,0.0627160891890525,0.005237229168415,0.056,Low
MBNL3,hsa-miR-5047,specific,0.0790270641446113,0.0187436565756797,0.0157231613993644,Blood,1,0.1035147607326507,0.0372713655233383,4.774,Medium,0.0935142785310745,0.0185277089476585,2.717,Low,0.0790270641446113,0.0215482041239738,0.014,Low
MBNL3,hsa-miR-4662a-5p,specific,0.0374167598783969,0.0182775445282459,0.0153813995420932,Heart,1,0.0490774400532245,-0.0171659551560878,6.848,Low,0.0732020139694213,-0.0017845556139945,4.284,High,0.0374167598783969,-0.0200621001422405,0.126,Low
MBNL3,hsa-miR-1233-5p,specific,0.0617692731320858,0.0177354626357555,0.0151190906763076,Blood,1,0.0882692709565162,0.0220258757472038,6.141,Medium,0.0818933546543121,0.0069067850708961,3.922,Medium,0.0617692731320858,0.0042904131114482,0.096,Low
MBNL3,hsa-miR-7153-5p,specific,0.0556836314499378,0.0170507244765758,0.0146837085485458,Blood,1,0.0814988911151886,0.0152554959058761,6.733,Medium,0.0755583569407463,0.0005717873573303,3.942,Medium,0.0556836314499378,-0.0017952285706996,0.073,Low
MBNL3,hsa-miR-942-5p,specific,0.0981126353144645,0.0431144386529922,0.0145015195012092,Heart,1,0.1354900896549224,0.06924669444561,6.504,High,0.1587347835302353,0.0837482139468193,3.128,High,0.0981126353144645,0.040633775293827,0.073,Low
MBNL3,hsa-miR-1243,specific,0.0731957331299781,0.0217446833848953,0.014447197318077,Heart,1,0.0892577543854713,0.0230143591761589,5.438,Medium,0.1124481260776519,0.0374615564942359,3.861,High,0.0731957331299781,0.0157168731093406,0.038,Low
MBNL3,hsa-miR-4478,specific,0.0558065026998519,0.0165940821170806,0.0142833366990089,Blood,2,0.0811651200056076,0.0149217247962951,6.102,Medium,0.0756249576807022,0.0006383880972862,3.568,Medium,0.0558065026998519,-0.0016723573207855,0.081,Low
MBNL3,hsa-miR-641,specific,0.0402133949100971,0.0264760963618755,0.0141459666192531,Heart,1,0.0613080598413944,-0.004935335367918,4.224,Medium,0.0841972008347511,0.0092106312513351,4.738,High,0.0402133949100971,-0.0172654651105403,0.022,Low
MBNL3,hsa-miR-6801-5p,specific,0.0495526082813739,0.0171948708593845,0.0134697556495666,Blood,1,0.0755120143294334,0.009268619120121,6.545,Medium,0.0707854330539703,-0.0042011365294456,4.156,Medium,0.0495526082813739,-0.0079262517392635,0.113,Low
MBNL3,hsa-miR-4687-3p,specific,0.0653540194034576,0.0167491883039474,0.0132787749171257,Blood,2,0.09086774289608,0.0246243476867675,4.191,Medium,0.0863321423530578,0.0113455727696418,1.627,Medium,0.0653540194034576,0.0078751593828201,0.061,Low
MBNL3,hsa-miR-6734-5p,specific,0.0815021693706512,0.0145304277539253,0.0130762830376625,Heart,1,0.0917208492755889,0.0254774540662765,5.438,Medium,0.113540306687355,0.038553737103939,1.881,High,0.0815021693706512,0.0240233093500137,0.067,Low
MBNL3,hsa-miR-10393-3p,specific,0.0695535838603973,0.0193800702691078,0.0127381160855293,Heart,1,0.0849600732326507,0.0187166780233383,6.04,Low,0.1064413636922836,0.0314547941088676,3.994,High,0.0695535838603973,0.0120747238397598,0.114,Low
MBNL3,hsa-miR-6501-5p,specific,0.0679741129279136,0.0156712010502815,0.0124730318784713,Blood,1,0.0892116799950599,0.0229682847857475,4.713,Medium,0.0822836533188819,0.007297083735466,2.253,Low,0.0679741129279136,0.0104952529072761,0.012,Low
MBNL3,hsa-miR-766-5p,specific,0.0672250315546989,0.0172734260559082,0.0121881365776062,Blood,2,0.08817770332098,0.0219343081116676,5.927,Medium,0.0796474516391754,0.0046608820557594,2.224,Low,0.0672250315546989,0.0097461715340614,0.065,Low
MBNL3,hsa-miR-3929,specific,0.0689821615815162,0.0256413072347641,0.0120411291718482,Blood,2,0.1033880040049552,0.0371446087956428,6.19,High,0.1000900492072105,0.0251034796237945,3.348,High,0.0689821615815162,0.0115033015608787,0.075,Low
MBNL3,hsa-miR-4469,specific,0.0502666272222995,0.0356822796165943,0.0120197832584381,Heart,2,0.0826936587691307,0.0164502635598182,4.995,Medium,0.1034566164016723,0.0284700468182563,1.212,High,0.0502666272222995,-0.0072122327983379,0.028,Low
MBNL3,hsa-miR-6726-5p,specific,0.0649488568305969,0.0154582262039184,0.0116425231099128,Heart,1,0.0775290951132774,0.0112856999039649,5.914,Low,0.0979147925972938,0.0229282230138778,3.968,High,0.0649488568305969,0.0074699968099594,0.117,Low
MBNL3,hsa-miR-8075,specific,0.066657967865467,0.0178882479667663,0.0114692598581314,Blood,1,0.0868917629122734,0.0206483677029609,5.682,Medium,0.0777466893196106,0.0027601197361946,1.928,Low,0.066657967865467,0.0091791078448295,0.028,Low
MBNL3,hsa-miR-2116-3p,specific,0.0550847686827182,0.0158736258745193,0.0113636739552021,Liver,1,0.0550847686827182,-0.0111586265265941,5.6,Low,0.0593179911375045,-0.0156685784459114,1.771,Low,0.0576839074492454,0.0002050474286079,0.043,Low
MBNL3,hsa-miR-3174,specific,0.0562323629856109,0.01561189442873,0.0109430477023124,Blood,1,0.0759399458765983,0.0096965506672859,4.733,Medium,0.0690712258219719,-0.005915343761444,1.904,Low,0.0562323629856109,-0.0012464970350265,0.019,Low
MBNL3,hsa-miR-6815-5p,specific,0.0653807073831558,0.0128133818507194,0.0108747631311416,Heart,1,0.0760838612914085,0.0098404660820961,5.795,Low,0.0957017987966537,0.0207152292132377,3.944,High,0.0653807073831558,0.0079018473625183,0.119,Low
MBNL3,hsa-miR-12120,specific,0.0649989768862724,0.0135209709405899,0.0107876881957054,Liver,1,0.0649989768862724,-0.00124441832304,5.796,Low,0.0710088685154914,-0.0039777010679244,2.025,Low,0.0670221298933029,0.0095432698726654,0.065,Low
MBNL3,hsa-miR-6778-5p,specific,0.0673596113920211,0.0166281908750534,0.0102653503417968,Blood,2,0.0863894969224929,0.0201461017131805,6.019,Medium,0.0785044804215431,0.0035179108381271,3.944,Low,0.0673596113920211,0.0098807513713836,0.107,Low
MBNL3,hsa-miR-12118,specific,0.0780395865440368,0.0113792791962623,0.0101663321256637,Heart,2,0.0855911746621131,0.0193477794528007,5.92,Medium,0.1057136282324791,0.0307270586490631,2.221,High,0.0780395865440368,0.0205607265233993,0.066,Low
MBNL3,hsa-miR-593-5p,specific,0.0648261755704879,0.0120904222130775,0.0101225525140762,Liver,1,0.0648261755704879,-0.0014172196388244,5.719,Low,0.0716014802455902,-0.0033850893378257,0.871,Low,0.0661841928958892,0.0087053328752517,0.021,Low
MBNL3,hsa-miR-3928-3p,specific,0.0607902891933918,0.0153800919651985,0.0101095996797084,Blood,2,0.0796644240617752,0.0134210288524627,5.931,Medium,0.0730275064706802,-0.0019590631127357,2.217,Low,0.0607902891933918,0.0033114291727542,0.065,Low
MBNL3,hsa-miR-486-5p,specific,0.1100634410977363,0.0118117332458496,0.0099513381719589,Liver,1,0.1100634410977363,0.0438200458884239,6.937,Medium,0.1206670105457305,0.0456804409623146,0.507,Medium,0.113110639154911,0.0556317791342735,0.05,Medium
MBNL3,hsa-miR-877-3p,specific,0.0484322495758533,0.0111219808459281,0.0099026896059513,Blood,1,0.0670994743704795,0.0008560791611671,5.756,Medium,0.0647206678986549,-0.010265901684761,3.761,Low,0.0484322495758533,-0.0090466104447841,0.089,Low
MBNL3,hsa-miR-6867-5p,specific,0.0542718470096588,0.0145736783742904,0.0098500624299049,Heart,1,0.0677599981427192,0.0015166029334068,6.081,Low,0.0863532349467277,0.0113666653633117,2.871,High,0.0542718470096588,-0.0032070130109786,0.05,Low
MBNL3,hsa-miR-3124-3p,specific,0.0652081966400146,0.0099585503339767,0.0096817314624786,Liver,1,0.0652081966400146,-0.0010351985692977,7.444,Low,0.0742281898856163,-0.0007583796977996,0.745,Medium,0.0664022117853164,0.0089233517646789,0.037,Low
MBNL3,hsa-miR-2276-5p,specific,0.0612557083368301,0.0099928006529808,0.0096571072936058,Liver,1,0.0612557083368301,-0.0049876868724823,6.937,Low,0.0703345760703086,-0.0046519935131073,0.507,Medium,0.062483973801136,0.0050051137804985,0.05,Low
MBNL3,hsa-miR-484,specific,0.0786027833819389,0.0113290175795555,0.009570837020874,Liver,1,0.0786027833819389,0.0123593881726264,6.937,Low,0.0891041383147239,0.0141175687313079,0.507,Medium,0.0811672657728195,0.023688405752182,0.05,Low
MBNL3,hsa-miR-4656,specific,0.0531999766826629,0.0101794376969337,0.0095531120896339,Heart,1,0.0625908374786377,-0.0036525577306747,6.786,Low,0.0808871239423751,0.0059005543589591,4.349,Medium,0.0531999766826629,-0.0042788833379745,0.132,Low
