gene	miRNA	utrprism	utrprism_replicate_sd	full_model_zero_coverage	sequence_only	coverage_gain_vs_zero	n_sites	site_coverage_mean	site_coverage_sd	miranda_score_max	miranda_energy_min	ko_mean	wt_mean	mrna_log2_ko_wt	clip_peak_count	clip_wt_ko_log2fc_max	clip_wt_ko_log2fc_mean	clip_support
1700025G04Rik	mmu-miR-122-5p	0.0584899134933948	0.0024517263742207	0.0507247447967529	0.0517210997641086	0.0077651686966419	1	0.3358	0.4203173800831937	157.0	-21.65	0.889678599	1.4103191732	-0.6098214771169183	0.0	0.0	0.0	False
1700030K09Rik	mmu-miR-122-5p	0.1102608069777488	0.0077515032812157	0.0904514491558075	0.1024784371256828	0.0198093578219413	1	0.7512	0.812692869416239	159.0	-21.12	1.81262120175	1.1492397972	0.614500738157752	1.0	4.658780493	4.658780493	True
2210016L21Rik	mmu-miR-122-5p	0.0827120169997215	0.0025202212574203	0.0519247651100158	0.0808054879307746	0.0307872518897056	1	2.9718000000000004	0.7122883545306634	154.0	-21.21	6.367491218	4.2074258162	0.5863802397912206	1.0	0.822279225	0.822279225	True
2310011J03Rik	mmu-miR-122-5p	0.0982012510299682	0.0014733019882048	0.0856486335396766	0.1056991294026374	0.0125526174902916	1	1.1271999999999998	0.2388800954453928	166.0	-22.88	10.83661091825	7.1048797848	0.6021194751521161	1.0	2.951562242	2.951562242	True
2310022B05Rik	mmu-miR-122-5p	0.0801429793238639	0.0044052966593767	0.0563781037926673	0.086310975253582	0.0237648755311965	1	3.1162	0.696811093482301	140.0	-23.04	9.058331041	5.211871304400001	0.7858645206273813	2.0	4.729169821	4.2853213055	True
2900026A02Rik	mmu-miR-122-5p	0.0671940118074417	0.0024961560567428	0.0578218065202236	0.0786038562655448	0.009372205287218	2	3.4826	0.7353467209418969	142.0	-21.12	20.3433077275	14.798660700000005	0.4564459963332883	1.0	5.948883142	5.948883142	True
3110040N11Rik	mmu-miR-122-5p	0.0905403763055801	0.0098137810555067	0.0615600198507308	0.1153662875294685	0.0289803564548492	1	0.2162	0.4834378967354546	145.0	-21.46	17.35019425	9.6714375996	0.836600360135272	0.0	0.0	0.0	False
4930544G11Rik	mmu-miR-122-5p	0.0918698608875274	0.0	0.0918698608875274	0.1697035580873489	0.0	1	0.0	0.0	144.0	-20.95	0.009134226	0.0	0.1261036217064218	0.0	0.0	0.0	False
4930550C14Rik	mmu-miR-122-5p	0.0834762081503868	0.0020987774103991	0.0825376063585281	0.1268182545900344	0.0009386017918586	1	0.0	0.0	151.0	-20.7	0.3051864305	0.070067297	1.2524801143810258	0.0	0.0	0.0	False
5730507C01Rik	mmu-miR-122-5p	0.1427476868033409	0.0378712841199694	0.0876247584819793	0.1410136520862579	0.0551229283213615	1	0.2794	0.2659028017904287	145.0	-20.64	1.326964401	1.4724888526000002	-0.1401004460267166	0.0	0.0	0.0	False
