gene,miRNA,predicted_rs,coverage_effect,coverage_dependence,n_sites,site_coverage,coverage_tier,window_start,window_end
IL6ST,hsa-miR-449c-3p,0.1155516430735588,0.0443,High,1,5.828,High,0,5987
IL6ST,hsa-miR-1249-5p,0.111610323190689,0.0491,High,1,1.732,Medium,0,5987
IL6ST,hsa-miR-320a-3p,0.1088173240423202,0.0469,High,1,5.792,High,0,5987
IL6ST,hsa-miR-3651,0.1041571795940399,0.0409,High,1,1.579,Medium,0,5987
IL6ST,hsa-miR-6088,0.1029021218419075,0.0441,High,1,5.445,High,0,5987
IL6ST,hsa-miR-320c,0.1011726409196853,0.0428,High,1,5.792,High,0,5987
IL6ST,hsa-miR-130b-3p,0.0996100977063179,0.0418,High,1,4.819,High,0,5987
IL6ST,hsa-miR-378c,0.0988733917474746,0.0384,High,1,1.753,Medium,0,5987
IL6ST,hsa-miR-329-5p,0.0968347191810607,0.0371,High,1,5.759,High,0,5987
IL6ST,hsa-miR-4691-5p,0.0966927334666252,0.0387,High,1,5.966,High,0,5987
IL6ST,hsa-miR-6755-5p,0.0966696366667747,0.0408,High,1,5.445,High,0,5987
IL6ST,hsa-miR-7705,0.0958698391914367,0.0376,High,1,5.452,High,0,5987
IL6ST,hsa-miR-3164,0.0950351506471633,0.0402,High,1,5.85,High,0,5987
IL6ST,hsa-miR-8063,0.0950192734599113,0.0392,High,1,5.007,High,0,5987
IL6ST,hsa-miR-873-5p,0.0944728851318359,0.0381,High,1,5.845,High,0,5987
IL6ST,hsa-miR-4521,0.0942304357886314,0.0358,High,1,5.537,High,0,5987
IL6ST,hsa-miR-922,0.0941498056054115,0.0398,High,1,1.898,Medium,0,5987
IL6ST,hsa-miR-3121-3p,0.0939264073967933,0.0408,High,1,1.558,Medium,0,5987
IL6ST,hsa-miR-3609,0.0936897322535514,0.0389,High,1,5.811,High,0,5987
IL6ST,hsa-miR-6847-3p,0.0935449078679084,0.0332,Medium,1,5.745,High,0,5987
IL6ST,hsa-miR-4632-5p,0.0928699076175689,0.0368,High,1,5.211,High,0,5987
IL6ST,hsa-miR-8071,0.0924788638949394,0.0342,Medium,1,1.92,Medium,0,5987
IL6ST,hsa-miR-6756-5p,0.0922558978199958,0.0358,High,1,1.898,Medium,0,5987
IL6ST,hsa-miR-6881-5p,0.091975599527359,0.0388,High,1,5.727,High,0,5987
IL6ST,hsa-miR-6721-5p,0.0917809382081031,0.0377,High,1,5.211,High,0,5987
IL6ST,hsa-miR-320b,0.0917035937309265,0.0398,High,1,5.792,High,0,5987
IL6ST,hsa-miR-29b-2-5p,0.0914838165044784,0.036,High,1,5.733,High,0,5987
IL6ST,hsa-miR-202-3p,0.0911363735795021,0.0379,High,1,5.87,High,0,5987
IL6ST,hsa-miR-6838-5p,0.0910500511527061,0.0391,High,1,2.279,Medium,0,5987
IL6ST,hsa-miR-4482-3p,0.0910390615463256,0.0355,High,1,5.339,High,0,5987
IL6ST,hsa-miR-3177-5p,0.0909473896026611,0.0361,High,1,5.546,High,0,5987
IL6ST,hsa-miR-6751-5p,0.0904140323400497,0.0344,Medium,1,5.561,High,0,5987
IL6ST,hsa-miR-4653-3p,0.0900458469986915,0.0378,High,1,1.709,Medium,0,5987
IL6ST,hsa-miR-3665,0.0880760550498962,0.0343,Medium,1,5.337,High,0,5987
IL6ST,hsa-miR-188-5p,0.0876676142215728,0.035,Medium,1,5.445,High,0,5987
IL6ST,hsa-miR-654-5p,0.0875261947512626,0.0354,High,1,1.898,Medium,0,5987
IL6ST,hsa-miR-548az-5p,0.0874708294868469,0.0362,High,1,4.756,High,0,5987
IL6ST,hsa-miR-4510,0.0872867330908775,0.0366,High,1,1.732,Medium,0,5987
IL6ST,hsa-miR-378i,0.0872425585985183,0.0354,High,1,1.734,Medium,0,5987
IL6ST,hsa-miR-6077,0.0871193557977676,0.0348,Medium,1,1.836,Medium,0,5987
IL6ST,hsa-miR-3620-3p,0.0867068469524383,0.0335,Medium,1,5.398,High,0,5987
IL6ST,hsa-miR-5189-3p,0.0866625159978866,0.0359,High,1,2.295,Medium,0,5987
IL6ST,hsa-miR-3120-3p,0.0856261029839515,0.0364,High,1,5.868,High,0,5987
