Gene_ID,miRNA_ID,utr_pos
ARCN1,hsa-miR-10526-3p,87
ARCN1,hsa-miR-1184,1676
ARCN1,hsa-miR-1228-5p,575
ARCN1,hsa-miR-1229-5p,1151
ARCN1,hsa-miR-1236-3p,1696
ARCN1,hsa-miR-1245b-3p,786
ARCN1,hsa-miR-1248,2152
ARCN1,hsa-miR-1271-3p,771
ARCN1,hsa-miR-1285-3p,537
ARCN1,hsa-miR-1291,975
ARCN1,hsa-miR-1321,1250
ARCN1,hsa-miR-1587,1471
ARCN1,hsa-miR-15b-5p,1143
ARCN1,hsa-miR-182-5p,1334
ARCN1,hsa-miR-1827,448
ARCN1,hsa-miR-211-3p,1775
ARCN1,hsa-miR-2682-3p,1699
ARCN1,hsa-miR-2909,1356
ARCN1,hsa-miR-3064-5p,1607
ARCN1,hsa-miR-3074-5p,239
ARCN1,hsa-miR-3126-5p,1068
ARCN1,hsa-miR-3136-5p,768
ARCN1,hsa-miR-3147,1468
ARCN1,hsa-miR-3153,1517
ARCN1,hsa-miR-3156-3p,1693
ARCN1,hsa-miR-3187-5p,539
ARCN1,hsa-miR-3199,1064
ARCN1,hsa-miR-324-3p,1691
ARCN1,hsa-miR-33b-3p,774
ARCN1,hsa-miR-345-3p,1328
ARCN1,hsa-miR-346,1694
ARCN1,hsa-miR-3620-5p,1469
ARCN1,hsa-miR-3664-3p,557
ARCN1,hsa-miR-3689a-3p,588
ARCN1,hsa-miR-3689b-3p,588
ARCN1,hsa-miR-3689c,588
ARCN1,hsa-miR-3689d,1243
ARCN1,hsa-miR-3691-5p,1122
ARCN1,hsa-miR-3692-5p,233
ARCN1,hsa-miR-370-3p,234
ARCN1,hsa-miR-3929,449
ARCN1,hsa-miR-3934-3p,552
ARCN1,hsa-miR-433-5p,526
ARCN1,hsa-miR-4433b-5p,1942
ARCN1,hsa-miR-4446-5p,186
ARCN1,hsa-miR-4469,0
ARCN1,hsa-miR-4476,1508
ARCN1,hsa-miR-4478,455
ARCN1,hsa-miR-4481,1757
ARCN1,hsa-miR-4487,1615
ARCN1,hsa-miR-4494,1210
ARCN1,hsa-miR-4502,1272
ARCN1,hsa-miR-4523,1563
ARCN1,hsa-miR-4533,1458
ARCN1,hsa-miR-4646-3p,1944
ARCN1,hsa-miR-4652-5p,1277
ARCN1,hsa-miR-4656,1465
ARCN1,hsa-miR-4663,1613
ARCN1,hsa-miR-4695-5p,420
ARCN1,hsa-miR-4709-3p,1070
ARCN1,hsa-miR-4716-3p,1523
ARCN1,hsa-miR-4722-5p,435
ARCN1,hsa-miR-4739,1240
ARCN1,hsa-miR-4793-5p,2244
ARCN1,hsa-miR-497-5p,1144
ARCN1,hsa-miR-498-5p,1793
ARCN1,hsa-miR-5001-3p,1701
ARCN1,hsa-miR-5088-3p,1934
ARCN1,hsa-miR-5093,1580
ARCN1,hsa-miR-515-3p,1680
ARCN1,hsa-miR-5189-5p,537
ARCN1,hsa-miR-518c-5p,254
ARCN1,hsa-miR-5195-5p,1653
ARCN1,hsa-miR-541-3p,576
ARCN1,hsa-miR-550a-3-5p,776
ARCN1,hsa-miR-550a-5p,770
ARCN1,hsa-miR-551b-5p,848
ARCN1,hsa-miR-5683,783
ARCN1,hsa-miR-6081,631
ARCN1,hsa-miR-6086,414
ARCN1,hsa-miR-6088,951
ARCN1,hsa-miR-612,534
ARCN1,hsa-miR-6124,927
ARCN1,hsa-miR-6127,1250
ARCN1,hsa-miR-6129,1251
ARCN1,hsa-miR-6133,1250
ARCN1,hsa-miR-6134,581
ARCN1,hsa-miR-622,1260
ARCN1,hsa-miR-637,263
ARCN1,hsa-miR-6504-5p,1609
ARCN1,hsa-miR-658,410
ARCN1,hsa-miR-660-3p,1405
ARCN1,hsa-miR-661,536
ARCN1,hsa-miR-665,424
ARCN1,hsa-miR-6720-5p,377
