experiment,coverage_mode,coverage_run,miRNA,gene,predicted_rs,cov_effect,cov_dep,n_sites,site_cov,cov_tier,window,mRNA_log2fc,RPF_log2fc,TE_log2fc,Group,mRNA_log2fc_raw,RPF_log2fc_raw,TE_log2fc_raw,mature_mirna,mRNA_repression,RPF_repression,TE_repression,external_calibrated_score,TargetScan,miRDB,miRanda_score,miRanda_neg_energy,targetnet_development_overlap,targetnet_set_idx,targetnet_record_id
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,CAAP1,0.1444314867258072,0.0552,High,1,3.82,High,"[0, 1616]",-0.755061652,-1.20603931,-0.4528511115,Site-containing gene,-0.717308117,-1.177257994,-0.459949877,hsa-miR-1-3p,0.755061652,1.20603931,0.4528511115,0.6054111435398108,0.476,95.97578,167.0,20.21,False,0,U2OS_miR1|hsa-miR-1-3p|CAAP1
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,FNDC3A,0.1183050125837326,0.0327,Medium,1,2.866,Medium,"[0, 2384]",-0.71197329,-0.704121355,0.0059784815,Site-containing gene,-0.674219755,-0.675340039,-0.001120284,hsa-miR-1-3p,0.71197329,0.704121355,-0.0059784815,0.5265864647563672,0.17,94.6438,165.0,20.16,False,1,U2OS_miR1|hsa-miR-1-3p|FNDC3A
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,C6orf120,0.1164920851588249,0.0384,High,1,3.773,High,"[0, 3325]",0.428051868,0.788415919,0.3584905985,Site-containing gene,0.465805403,0.817197235,0.351391833,hsa-miR-1-3p,-0.428051868,-0.788415919,-0.3584905985,0.5662817910829014,0.06,56.8451,165.0,21.52,False,2,U2OS_miR1|hsa-miR-1-3p|C6orf120
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,DICER1,0.1110584288835525,0.0286,Medium,1,2.949,Medium,"[0, 4270]",0.0970571809999999,-1.063828868,-1.1627595025,Site-containing gene,0.134810716,-1.035047552,-1.169858268,hsa-miR-1-3p,-0.0970571809999999,1.063828868,1.1627595025,0.5348651143434491,0.023,67.2096,180.0,20.13,False,3,U2OS_miR1|hsa-miR-1-3p|DICER1
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,DDX5,0.0906463339924812,0.0342,Medium,1,5.853,High,"[0, 1669]",-0.686357645,-0.77728523,-0.0928010374999999,Site-containing gene,-0.64860411,-0.748503914,-0.099899803,hsa-miR-1-3p,0.686357645,0.77728523,0.0928010374999999,0.5982644416919791,0.404,93.46624,178.0,20.95,False,4,U2OS_miR1|hsa-miR-1-3p|DDX5
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,NCL,0.0896186530590057,0.0154,Low,1,8.488,High,"[0, 1660]",-0.226221831,-0.5071271399999999,-0.2827787625,Site-containing gene,-0.188468296,-0.478345824,-0.289877528,hsa-miR-1-3p,0.226221831,0.5071271399999999,0.2827787625,0.6142557669965178,0.456,89.9252,150.0,20.3,False,5,U2OS_miR1|hsa-miR-1-3p|NCL
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,SNTB2,0.088823989033699,0.0255,Medium,1,1.996,Medium,"[97, 6097]",-0.656859826,-0.779853132,-0.1248667585,Site-containing gene,-0.619106291,-0.751071816,-0.131965524,hsa-miR-1-3p,0.656859826,0.779853132,0.1248667585,0.4643190851470871,,63.1553924719,166.0,21.58,False,6,U2OS_miR1|hsa-miR-1-3p|SNTB2
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,ZBTB38,0.0786362513899803,0.0075,Low,1,0.805,Low,"[0, 3816]",-0.256321521,-0.458858622,-0.2044105545,Site-containing gene,-0.218567986,-0.430077306,-0.21150932,hsa-miR-1-3p,0.256321521,0.458858622,0.2044105545,0.4329024084076346,,,179.0,21.15,False,7,U2OS_miR1|hsa-miR-1-3p|ZBTB38
U2OS_miR1,matched_mock,SRR1551153,hsa-miR-1-3p,GNAI3,0.0713576301932334,0.0131,Low,1,0.0,Low,"[1527, 7527]",-0.41589956,-0.337538565,0.0764875415,Site-containing gene,-0.378146025,-0.308757249,0.069388776,hsa-miR-1-3p,0.41589956,0.337538565,-0.0764875415,0.4014857316681821,,,171.0,20.55,False,8,U2OS_miR1|hsa-miR-1-3p|GNAI3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ZWILCH,0.1863572895526886,0.1032,High,1,5.81,High,"[0, 1806]",-0.282204572,-0.901560894,-0.6247253639999999,Site-containing gene,-0.244371903,-0.789474434,-0.545102531,hsa-miR-155-5p,0.282204572,0.901560894,0.6247253639999999,0.639271214528297,,,161.0,22.01,False,9,U2OS_miR155|hsa-miR-155-5p|ZWILCH
